marital_status,day_or_night,previous_qualification,admission_grade,displaced,gender,age,international,target
soltero,Si,131,127.9,No,Mujer,19,No,Graduate
soltero,Si,130,121.3,Si,Mujer,19,No,Graduate
soltero,Si,122,117.1,Si,Mujer,19,No,Dropout
soltero,Si,160,160,Si,Mujer,20,No,Graduate
soltero,Si,131,122.6,Si,Mujer,18,No,Graduate
soltero,Si,132,128,Si,Mujer,19,No,Graduate
soltero,Si,138,124.9,Si,Mujer,18,No,Dropout
soltero,Si,130,123.7,Si,Mujer,18,No,Graduate
soltero,Si,126,120.1,Si,Mujer,19,No,Graduate
soltero,Si,148,131.7,Si,Mujer,19,No,Dropout
soltero,Si,130,133.2,No,Mujer,20,No,Graduate
soltero,Si,117,109.3,No,Mujer,19,No,Dropout
soltero,Si,120,113,Si,Mujer,20,No,Graduate
soltero,Si,153,157.9,No,Mujer,18,No,Graduate
soltero,Si,178,174.7,No,Mujer,18,No,Graduate
soltero,Si,129,128.8,Si,Mujer,19,No,Graduate
soltero,Si,116,110.1,Si,Mujer,19,No,Graduate
soltero,Si,135,121,Si,Mujer,19,No,Graduate
soltero,Si,141,131.7,Si,Mujer,19,No,Graduate
soltero,Si,132,119.1,Si,Mujer,19,No,Graduate
soltero,Si,132,124.7,Si,Mujer,19,No,Dropout
soltero,Si,113,117.2,Si,Mujer,20,No,Dropout
soltero,Si,134,128.8,No,Mujer,18,No,Graduate
soltero,Si,136,131.5,No,Mujer,20,No,Graduate
soltero,Si,129,123.4,No,Mujer,19,No,Graduate
soltero,Si,137,132.8,Si,Mujer,18,No,Graduate
soltero,Si,115,108.7,Si,Mujer,21,No,Dropout
soltero,Si,129,138.1,No,Mujer,19,No,Dropout
soltero,Si,131,126.5,No,Mujer,18,No,Graduate
soltero,Si,133,127.4,Si,Mujer,18,No,Graduate
soltero,Si,125,123.6,Si,Mujer,20,No,Graduate
soltero,No,120,122,No,Mujer,24,No,Graduate
soltero,Si,128,118.2,No,Mujer,19,No,Dropout
soltero,Si,127,123.9,Si,Mujer,18,No,Graduate
soltero,Si,134,125.8,Si,Mujer,18,No,Graduate
soltero,Si,132,123.3,Si,Mujer,21,No,Dropout
soltero,Si,124,124.4,No,Mujer,19,No,Graduate
soltero,Si,133.1,126,No,Mujer,19,No,Graduate
soltero,Si,125,121.5,No,Mujer,19,No,Graduate
soltero,Si,130,130,No,Mujer,29,No,Graduate
soltero,Si,125,117,Si,Mujer,21,No,Dropout
soltero,Si,133.1,108,No,Mujer,20,No,Graduate
soltero,Si,131,132.3,Si,Mujer,19,No,Graduate
soltero,No,150,148,No,Mujer,26,No,Graduate
soltero,Si,125,122.6,Si,Mujer,20,No,Dropout
soltero,Si,130,102.5,No,Mujer,27,No,Graduate
soltero,Si,123,113.3,Si,Mujer,20,No,Dropout
soltero,Si,141,133,Si,Mujer,18,No,Dropout
soltero,Si,140,140,No,Mujer,33,No,Dropout
soltero,Si,140,128.3,Si,Mujer,35,No,Graduate
soltero,Si,133.1,104,No,Mujer,27,No,Dropout
soltero,Si,131,122.3,Si,Mujer,19,No,Dropout
soltero,Si,143,135,No,Mujer,20,No,Dropout
soltero,Si,132,119.1,Si,Mujer,20,No,Dropout
soltero,Si,141,129,Si,Mujer,18,No,Graduate
soltero,Si,133.1,162.3,Si,Mujer,24,No,Dropout
soltero,Si,148,163.4,Si,Mujer,20,No,Graduate
soltero,Si,125,121.5,No,Mujer,21,No,Graduate
soltero,Si,140,118,Si,Mujer,24,No,Dropout
soltero,Si,139,134,No,Mujer,21,No,Dropout
soltero,Si,142,129.8,Si,Mujer,18,No,Graduate
soltero,No,130,152,Si,Mujer,27,No,Dropout
soltero,Si,126,122.8,Si,Mujer,18,No,Graduate
soltero,Si,150,150,No,Mujer,35,No,Dropout
soltero,Si,130,131.8,No,Mujer,18,No,Graduate
soltero,Si,138,132.1,Si,Mujer,19,No,Graduate
soltero,Si,127,127.4,Si,Mujer,20,No,Graduate
soltero,Si,140,129.5,Si,Mujer,18,No,Graduate
soltero,Si,130,126.7,No,Mujer,21,No,Graduate
soltero,Si,128,116.5,No,Mujer,18,No,Graduate
soltero,Si,132,119.1,Si,Mujer,18,No,Graduate
soltero,Si,149,126.5,Si,Mujer,18,No,Graduate
soltero,Si,155,149.8,Si,Mujer,18,No,Graduate
soltero,Si,120,115.1,Si,Mujer,19,No,Graduate
soltero,Si,133.1,124.5,No,Mujer,36,No,Dropout
soltero,Si,131,128.3,Si,Mujer,18,No,Graduate
soltero,Si,149,136,No,Mujer,18,No,Graduate
soltero,Si,140,140,Si,Mujer,20,No,Graduate
soltero,No,133.1,126.3,No,Mujer,26,No,Dropout
soltero,Si,122,126.9,No,Mujer,21,No,Graduate
soltero,Si,121,115.8,Si,Mujer,19,No,Graduate
soltero,No,120,100,Si,Mujer,24,No,Dropout
soltero,No,133.1,102.5,No,Mujer,27,No,Dropout
soltero,Si,121,131.5,No,Mujer,21,No,Dropout
soltero,Si,133,147,No,Mujer,18,No,Graduate
casado,Si,134,122.5,No,Mujer,19,No,Graduate
soltero,Si,115,117.5,Si,Mujer,18,No,Dropout
soltero,Si,127,150,No,Mujer,19,No,Graduate
soltero,Si,135,127.5,Si,Mujer,19,No,Graduate
casado,No,140,140,No,Mujer,33,No,Graduate
casado,Si,130,130,No,Mujer,45,No,Graduate
soltero,Si,135,133.3,No,Mujer,20,No,Graduate
soltero,Si,140,97,Si,Mujer,28,No,Dropout
soltero,Si,120,112,Si,Mujer,19,No,Graduate
soltero,Si,140,123.6,Si,Mujer,18,No,Graduate
soltero,Si,133.1,130.5,No,Mujer,38,No,Dropout
soltero,Si,135,133.3,No,Mujer,19,No,Graduate
soltero,Si,123,132.1,No,Mujer,21,No,Graduate
soltero,Si,133.1,100,No,Mujer,21,No,Dropout
soltero,Si,154,140.4,No,Mujer,22,No,Graduate
soltero,Si,148,141.7,No,Mujer,18,No,Graduate
soltero,Si,133,119.7,No,Mujer,18,No,Graduate
soltero,Si,126,122.5,Si,Mujer,25,No,Dropout
soltero,Si,133.1,140,No,Mujer,24,No,Dropout
soltero,Si,118,119.1,Si,Mujer,20,No,Graduate
soltero,Si,120,122.7,No,Mujer,25,No,Dropout
soltero,Si,127,117.9,No,Mujer,20,No,Graduate
soltero,Si,130,130,No,Mujer,23,No,Graduate
soltero,Si,129,120,Si,Mujer,19,No,Graduate
soltero,Si,130,130,No,Mujer,29,No,Dropout
soltero,Si,121,116.8,Si,Mujer,21,No,Graduate
soltero,Si,136,123.4,Si,Mujer,18,No,Graduate
soltero,Si,131,127.2,Si,Mujer,18,No,Dropout
soltero,Si,122,103.4,No,Mujer,19,No,Graduate
soltero,Si,136,124.1,No,Mujer,18,No,Graduate
casado,Si,133.1,99.5,Si,Mujer,37,No,Dropout
soltero,No,127,124.9,No,Mujer,29,No,Graduate
soltero,Si,121,118.9,Si,Mujer,19,No,Graduate
soltero,Si,124,118.8,Si,Mujer,22,No,Dropout
soltero,Si,131,137,No,Mujer,20,No,Graduate
soltero,No,100,100,No,Mujer,34,No,Dropout
soltero,Si,130,120,No,Mujer,30,No,Dropout
soltero,Si,135,122.8,No,Mujer,18,No,Graduate
soltero,Si,130,121.6,No,Mujer,18,No,Graduate
soltero,Si,146,149.2,Si,Mujer,18,No,Graduate
soltero,Si,146,140,Si,Mujer,18,No,Graduate
soltero,Si,154,133.4,Si,Mujer,19,No,Graduate
soltero,Si,137,126.2,Si,Mujer,19,No,Graduate
soltero,Si,151,127.8,No,Mujer,18,No,Graduate
soltero,Si,150,150,No,Mujer,21,No,Graduate
soltero,Si,121,113.7,Si,Mujer,20,No,Dropout
soltero,Si,122,117.8,Si,Mujer,20,No,Graduate
soltero,Si,143,136.7,No,Mujer,19,No,Graduate
soltero,Si,152,144.7,No,Mujer,20,No,Graduate
soltero,Si,145,139.8,Si,Mujer,18,No,Graduate
soltero,Si,120,113.7,No,Mujer,20,No,Dropout
casado,Si,140,140,No,Mujer,29,No,Dropout
soltero,Si,129,119.6,Si,Mujer,20,No,Graduate
soltero,Si,139,123.7,Si,Mujer,22,No,Graduate
divorciado,No,133.1,143,Si,Mujer,47,No,Graduate
casado,No,127,100.1,No,Mujer,31,No,Graduate
soltero,Si,126,119.4,No,Mujer,21,No,Graduate
soltero,No,128,122.1,No,Mujer,21,No,Graduate
casado,Si,100,100,No,Mujer,24,No,Graduate
soltero,No,170,101,No,Mujer,32,No,Graduate
soltero,No,117,111.8,Si,Mujer,19,No,Graduate
soltero,Si,140,140,Si,Mujer,24,No,Graduate
soltero,Si,123,124.4,Si,Mujer,19,No,Graduate
soltero,Si,150,150,No,Mujer,19,No,Graduate
soltero,Si,123,116,Si,Mujer,18,No,Graduate
soltero,Si,130,135.6,Si,Mujer,19,No,Dropout
casado,Si,137,121,No,Mujer,19,No,Graduate
soltero,Si,126,118.7,Si,Mujer,18,No,Graduate
soltero,Si,125,125.7,Si,Mujer,18,No,Graduate
soltero,Si,112,107.1,Si,Mujer,20,No,Graduate
soltero,Si,141,125.5,No,Mujer,18,No,Graduate
soltero,Si,135,127,Si,Mujer,18,No,Graduate
soltero,Si,117,113.5,Si,Mujer,21,No,Graduate
soltero,Si,160,154.4,No,Mujer,18,No,Graduate
soltero,Si,136,122,No,Mujer,18,No,Dropout
soltero,Si,143,128,Si,Mujer,19,No,Dropout
soltero,Si,120,117.2,Si,Mujer,18,No,Graduate
soltero,Si,150,150,Si,Mujer,34,No,Dropout
soltero,Si,142,155.3,No,Mujer,19,No,Graduate
soltero,Si,120,120,Si,Mujer,19,No,Dropout
soltero,Si,160,116.1,No,Mujer,26,No,Graduate
soltero,Si,133.1,118.9,Si,Mujer,21,No,Dropout
soltero,Si,142,127.3,No,Mujer,18,No,Graduate
soltero,Si,121,113.7,Si,Mujer,20,No,Graduate
soltero,Si,135,118.5,No,Mujer,25,No,Dropout
soltero,Si,153,146.7,No,Mujer,18,No,Graduate
soltero,Si,140,124.3,Si,Mujer,18,No,Graduate
soltero,Si,152,137.8,No,Mujer,19,No,Graduate
soltero,Si,120,130.2,No,Mujer,18,No,Graduate
soltero,Si,150,150,No,Mujer,26,No,Dropout
soltero,Si,100,100,Si,Mujer,19,No,Graduate
soltero,Si,150,155.6,No,Mujer,19,No,Graduate
soltero,Si,124,117.4,No,Mujer,19,No,Graduate
soltero,Si,121,117.5,Si,Mujer,18,No,Graduate
soltero,Si,134,120.4,Si,Mujer,19,No,Graduate
soltero,Si,134,130.9,No,Mujer,18,No,Graduate
soltero,Si,151,151,No,Mujer,26,No,Dropout
soltero,Si,107,103.5,Si,Mujer,20,No,Graduate
soltero,No,126,119.4,No,Mujer,19,No,Graduate
soltero,Si,133,134.4,Si,Mujer,18,No,Graduate
soltero,Si,140,143,No,Mujer,19,No,Graduate
soltero,Si,110,110,No,Mujer,40,No,Graduate
soltero,Si,141,132.5,Si,Mujer,18,No,Graduate
soltero,Si,122,114.7,No,Mujer,19,No,Graduate
soltero,Si,156,166.9,No,Mujer,18,No,Graduate
soltero,Si,188,178.3,Si,Mujer,18,No,Dropout
casado,No,120,117,Si,Mujer,33,No,Graduate
soltero,Si,130,150,No,Mujer,35,No,Graduate
soltero,Si,140,135.1,Si,Mujer,18,No,Graduate
divorciado,No,133.1,136.2,No,Mujer,39,No,Graduate
casado,Si,120,116,No,Mujer,44,No,Graduate
soltero,Si,117,116.3,Si,Mujer,24,No,Dropout
soltero,Si,123,134,No,Mujer,20,No,Graduate
soltero,Si,127,124.2,Si,Mujer,19,No,Dropout
casado,Si,151,134.5,No,Mujer,18,No,Graduate
soltero,Si,127,120.7,No,Mujer,22,No,Dropout
soltero,Si,133,127.1,Si,Mujer,18,No,Graduate
soltero,Si,133.1,133,No,Mujer,24,No,Graduate
soltero,No,133.1,128.2,No,Mujer,33,No,Dropout
soltero,Si,160,172,No,Mujer,26,No,Dropout
soltero,Si,140,128.5,Si,Mujer,18,No,Graduate
soltero,Si,146,128.5,No,Mujer,19,No,Dropout
soltero,Si,140,142.5,Si,Mujer,22,No,Graduate
soltero,Si,133.1,106,Si,Mujer,21,No,Graduate
soltero,Si,136,125.5,Si,Mujer,21,No,Graduate
soltero,Si,122,112.9,Si,Mujer,19,No,Graduate
soltero,Si,138,124.8,Si,Mujer,18,No,Dropout
casado,No,160,140.9,No,Mujer,50,No,Graduate
soltero,Si,161,148.4,No,Mujer,19,No,Graduate
divorciado,No,140,129.7,No,Mujer,35,No,Graduate
casado,Si,133.1,128.2,No,Mujer,31,No,Dropout
soltero,Si,130,119.9,Si,Mujer,34,No,Dropout
soltero,Si,152,141,Si,Mujer,18,No,Graduate
divorciado,Si,133.1,140,No,Mujer,26,No,Dropout
soltero,Si,125,117,No,Mujer,19,No,Graduate
soltero,Si,140,140.2,No,Mujer,20,No,Graduate
soltero,Si,124,129.3,No,Mujer,19,No,Graduate
soltero,Si,140,145.3,No,Mujer,18,No,Graduate
soltero,No,130,146.2,No,Mujer,28,No,Graduate
soltero,No,160,156.1,No,Mujer,21,No,Graduate
soltero,Si,141,128.4,Si,Mujer,18,No,Dropout
soltero,Si,120,115,No,Mujer,20,No,Dropout
soltero,Si,166,158.7,No,Mujer,18,No,Graduate
soltero,Si,147,124.5,Si,Mujer,19,No,Graduate
soltero,Si,121,111.9,Si,Mujer,20,No,Graduate
soltero,Si,150,150,Si,Mujer,22,No,Graduate
soltero,Si,124,114.2,Si,Mujer,18,No,Dropout
soltero,Si,96,96,Si,Mujer,19,No,Dropout
soltero,Si,142,131.3,Si,Mujer,19,No,Graduate
soltero,Si,135,137.1,Si,Mujer,18,No,Graduate
soltero,Si,120,120,Si,Mujer,21,No,Graduate
soltero,No,140,139,No,Mujer,27,No,Graduate
soltero,Si,135,129.1,No,Mujer,19,No,Graduate
divorciado,Si,133.1,128.2,No,Mujer,25,No,Dropout
soltero,Si,137,120.8,Si,Mujer,18,No,Graduate
soltero,Si,122,135.8,No,Mujer,24,No,Graduate
soltero,Si,128,118.9,Si,Mujer,20,No,Graduate
soltero,No,140,140,No,Mujer,26,No,Graduate
soltero,Si,132,127.1,Si,Mujer,20,No,Graduate
soltero,Si,131,137,No,Mujer,18,No,Graduate
soltero,Si,126,127.4,Si,Mujer,19,No,Graduate
soltero,Si,133.1,97,Si,Mujer,23,No,Dropout
soltero,Si,136,126.3,Si,Mujer,18,No,Graduate
soltero,Si,140,127.5,No,Mujer,18,No,Dropout
soltero,Si,135,126.6,No,Mujer,19,No,Graduate
soltero,No,160,120,No,Mujer,30,No,Graduate
soltero,Si,140,140,Si,Mujer,29,No,Dropout
soltero,Si,140,131.5,Si,Mujer,19,No,Graduate
soltero,Si,115,112.2,Si,Mujer,20,No,Graduate
soltero,Si,144,150.5,No,Mujer,20,No,Graduate
soltero,Si,128,121,Si,Mujer,19,No,Graduate
viudo,Si,135,129.4,Si,Mujer,21,No,Dropout
soltero,Si,121,114.4,No,Mujer,19,No,Graduate
soltero,Si,134,120.3,Si,Mujer,18,No,Graduate
soltero,No,120,120,No,Mujer,27,No,Graduate
soltero,Si,125,114.5,Si,Mujer,19,No,Graduate
soltero,Si,141,127.8,No,Mujer,19,No,Dropout
soltero,Si,140,124.6,Si,Mujer,19,No,Graduate
soltero,Si,144,130.3,Si,Mujer,18,No,Graduate
soltero,Si,130,118.8,No,Mujer,18,No,Graduate
soltero,Si,133.1,133,Si,Mujer,19,No,Dropout
casado,Si,133.1,129,Si,Mujer,36,No,Graduate
soltero,Si,136,132.5,Si,Mujer,19,No,Graduate
soltero,Si,127,120.3,Si,Mujer,18,No,Graduate
soltero,Si,123,114.6,No,Mujer,18,No,Graduate
soltero,Si,128,116.5,Si,Mujer,19,No,Graduate
soltero,Si,128,127.8,No,Mujer,19,No,Graduate
soltero,Si,140,129.9,Si,Mujer,18,No,Dropout
soltero,Si,121,118.9,Si,Mujer,20,No,Graduate
soltero,Si,126,114.8,Si,Mujer,20,No,Graduate
soltero,Si,135,123,Si,Mujer,18,No,Graduate
soltero,Si,131,122.1,Si,Mujer,18,No,Graduate
soltero,Si,140,123.7,No,Mujer,19,No,Graduate
casado,No,130,114.8,No,Mujer,44,No,Graduate
soltero,Si,130,130,No,Mujer,32,No,Dropout
soltero,Si,140,122.3,No,Mujer,22,No,Dropout
casado,Si,130,152.4,Si,Mujer,36,No,Graduate
soltero,Si,125,120.1,No,Mujer,18,No,Graduate
soltero,Si,160,155.1,Si,Mujer,20,No,Graduate
soltero,Si,130,124.5,No,Mujer,20,No,Graduate
soltero,Si,144,126.9,No,Mujer,19,No,Graduate
soltero,Si,133.1,153.2,Si,Mujer,24,No,Graduate
soltero,No,133.1,135,No,Mujer,27,No,Dropout
soltero,Si,129,125.2,No,Mujer,23,No,Graduate
soltero,Si,144,141.3,Si,Mujer,18,No,Graduate
soltero,Si,120,117.1,Si,Mujer,18,No,Graduate
soltero,Si,144,126.5,Si,Mujer,20,No,Graduate
soltero,Si,132,120.1,No,Mujer,20,No,Graduate
soltero,Si,142,128.4,No,Mujer,23,No,Dropout
soltero,Si,136,140,Si,Mujer,20,No,Graduate
soltero,Si,133.1,110,Si,Mujer,28,No,Dropout
soltero,Si,122,116.8,Si,Mujer,21,No,Graduate
soltero,Si,133.1,104.5,Si,Mujer,21,No,Dropout
soltero,Si,140,140,No,Mujer,28,No,Dropout
soltero,Si,117,113.2,No,Mujer,18,No,Graduate
soltero,Si,136,123.8,No,Mujer,19,No,Graduate
soltero,Si,141,126.7,Si,Mujer,18,No,Graduate
soltero,Si,130,133.8,No,Mujer,19,No,Dropout
soltero,Si,102,100.6,Si,Mujer,20,No,Graduate
soltero,Si,126,132.7,No,Mujer,18,No,Graduate
soltero,Si,125,106.6,Si,Mujer,20,No,Dropout
soltero,Si,120,140.4,No,Mujer,31,No,Dropout
soltero,Si,132,128.3,Si,Mujer,19,No,Graduate
soltero,Si,128,118.6,Si,Mujer,19,No,Graduate
soltero,Si,115,123.4,No,Mujer,23,No,Graduate
soltero,Si,125,124,No,Mujer,19,No,Graduate
soltero,Si,137,121.3,Si,Mujer,20,No,Graduate
soltero,Si,130,130,No,Mujer,27,No,Dropout
soltero,Si,100,120,No,Mujer,29,No,Dropout
soltero,Si,122,130.4,Si,Mujer,18,No,Graduate
soltero,Si,126,118.7,No,Mujer,18,No,Graduate
soltero,Si,128,131.5,No,Mujer,18,No,Graduate
soltero,Si,128,129.1,Si,Mujer,18,No,Graduate
soltero,Si,130,130,No,Mujer,28,No,Dropout
soltero,Si,135,132.8,Si,Mujer,18,No,Graduate
soltero,Si,138,133.5,Si,Mujer,18,No,Graduate
soltero,Si,150,146.2,No,Mujer,18,No,Dropout
soltero,Si,125,115.2,No,Mujer,21,No,Dropout
casado,No,120,101.8,No,Mujer,32,No,Dropout
soltero,Si,140,100,No,Mujer,28,No,Graduate
soltero,No,100,121.9,No,Mujer,40,No,Dropout
casado,No,140,120.4,No,Mujer,39,No,Dropout
casado,Si,140,120.4,No,Mujer,39,No,Dropout
casado,Si,120,148.8,No,Mujer,50,No,Graduate
soltero,Si,138,123,Si,Mujer,23,No,Dropout
divorciado,No,133.1,100,No,Mujer,48,No,Dropout
soltero,Si,118,112.1,Si,Mujer,23,No,Dropout
soltero,Si,135,126.8,Si,Mujer,18,No,Graduate
soltero,Si,130,115.9,No,Mujer,18,No,Graduate
soltero,Si,150,132.5,Si,Mujer,20,Si,Graduate
soltero,Si,149,132.2,Si,Mujer,18,Si,Graduate
soltero,Si,180,183.5,Si,Mujer,18,Si,Dropout
soltero,Si,133.1,136,No,Hombre,31,No,Dropout
soltero,Si,145,114.5,Si,Hombre,24,No,Graduate
soltero,Si,110,110.3,No,Hombre,26,No,Dropout
soltero,Si,154,137.2,Si,Hombre,18,No,Dropout
soltero,Si,133,121.8,Si,Hombre,22,No,Dropout
soltero,Si,145,127.3,Si,Hombre,18,No,Graduate
soltero,Si,120,120,No,Hombre,20,No,Dropout
soltero,Si,150,150,No,Hombre,25,No,Graduate
soltero,No,150,100,Si,Hombre,24,No,Graduate
soltero,Si,150,150,Si,Hombre,27,No,Dropout
soltero,Si,127,116.9,No,Hombre,21,No,Graduate
soltero,Si,140,140,Si,Hombre,21,No,Graduate
soltero,Si,128,122.1,Si,Hombre,19,No,Dropout
soltero,Si,127,160,No,Hombre,28,No,Graduate
soltero,Si,150,150,No,Hombre,21,No,Graduate
soltero,Si,154,144.9,No,Hombre,18,No,Graduate
soltero,Si,125,116.3,Si,Hombre,19,No,Graduate
soltero,Si,126,122.5,Si,Hombre,19,No,Dropout
soltero,Si,133.1,115,Si,Hombre,25,No,Dropout
soltero,Si,115,115,No,Hombre,21,No,Dropout
soltero,Si,117,119.8,Si,Hombre,19,No,Dropout
soltero,Si,133.1,95,No,Hombre,20,No,Dropout
soltero,Si,150,150,No,Hombre,25,No,Dropout
soltero,Si,161,144.2,Si,Hombre,18,No,Graduate
soltero,Si,111,128.2,Si,Hombre,23,No,Graduate
soltero,Si,140,135.3,No,Hombre,21,No,Graduate
soltero,No,139,140.7,No,Hombre,25,No,Dropout
soltero,Si,132,130.4,Si,Hombre,18,No,Graduate
soltero,Si,119,123.2,Si,Hombre,22,No,Graduate
soltero,Si,133.1,118,No,Hombre,27,No,Graduate
soltero,Si,133.1,120,No,Hombre,25,No,Dropout
soltero,Si,129,118.9,Si,Hombre,18,No,Dropout
soltero,Si,128,117.2,No,Hombre,20,No,Graduate
soltero,Si,120,120,No,Hombre,27,No,Graduate
soltero,No,130,118.1,No,Hombre,20,No,Graduate
soltero,Si,130,124.8,Si,Hombre,22,No,Dropout
soltero,Si,111,106.5,Si,Hombre,19,No,Dropout
soltero,Si,117,109.3,No,Hombre,19,No,Graduate
casado,Si,133.1,120,Si,Hombre,29,No,Dropout
soltero,Si,149,137.5,No,Hombre,19,No,Graduate
casado,Si,134,120.4,No,Mujer,20,No,Graduate
soltero,Si,136,136.7,Si,Mujer,20,No,Graduate
soltero,No,133.1,118.5,Si,Mujer,31,No,Dropout
soltero,Si,141,133,Si,Mujer,18,No,Graduate
soltero,Si,148,133,Si,Mujer,18,No,Graduate
soltero,Si,102,102,No,Mujer,19,No,Graduate
